,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
nazov,Emisie základných znečisťujúcich látok,,,,,,,,,,,,,,,,,,
Jednotky,Produkcia v tonách,,,,,,,,,,,,,,,,,,
Typ emisií,Tuhé emisie,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
Okres Liptovský Mikuláš,"595,3","34,2","35,0","31,4","28,3","26,6","32,0","30,1","29,0","36,3","33,7","41,3","44,4","64,9","72,5","77,6","95,7","104,0","187,5"
Okres Martin,"393,6","23,7","25,7","27,4","23,9","22,1","25,5","26,6","30,3","34,1","38,5","45,2","47,3","62,7","84,2","125,4","160,9","166,1","206,4"
Okres Námestovo,"777,6","15,9","19,7","17,7","25,4","21,0","24,2","28,4","31,2","30,9","47,0","50,1","49,9","63,6","82,1","125,0","168,0","197,3","211,2"
Okres Ružomberok,"629,5","87,6","92,4","87,8","89,7","157,1","300,5","230,8","260,5","142,1","111,6","97,0","98,9","91,1","122,8","207,4","262,2","267,3","290,3"
Okres Turčianske Teplice,"199,0","2,0","1,9","4,1","3,7","3,5","4,1","3,8","2,1","2,7","3,7","3,5","4,4","3,7","6,1","4,1","10,4","9,8","9,9"
Okres Tvrdošín,"180,4","12,3","11,5","7,8","7,2","9,9","7,3","11,1","13,2","19,1","28,1","13,9","14,5","14,2","16,6","17,7","27,1","37,0","39,8"
Okres Žilina,"821,3","121,8","128,6","138,3","144,5","209,4","156,2","132,2","122,6","126,9","158,2","190,4","175,5","186,1","235,8","367,6","354,7","457,3","533,7"
Okres Banská Bystrica,"380,7","23,9","24,4","30,3","32,7","28,6","30,6","67,5","33,8","39,0","44,5","48,5","52,2","59,2","92,0","106,4","132,4","132,8","166,9"
Okres Banská Štiavnica,"169,7","6,2","3,9","5,0","4,1","5,8","5,4","5,7","5,2","10,0","9,9","6,6","15,9","17,8","11,0","14,1","12,5","14,1","23,4"
Okres Brezno,"456,7","27,1","31,1","34,8","35,1","37,1","54,0","71,0","66,0","63,3","58,9","71,0","68,2","88,0","87,5","92,3","142,2","197,5","263,3"
Okres Detva,"349,1","28,2","24,1","26,2","30,6","26,2","20,5","17,6","30,8","27,8","19,5","21,5","21,8","17,1","15,7","12,9","16,3","20,5","22,2"
Okres Krupina,"253,0","4,3","4,4","6,6","6,2","4,3","6,0","7,6","8,3","11,3","8,7","9,4","8,5","11,8","16,0","11,2","15,1","14,0","16,3"
Okres Lučenec,"515,8","15,3","17,3","14,6","15,7","14,6","14,1","14,7","15,9","16,8","20,3","40,6","48,5","63,7","89,2","110,5","125,6","117,1","140,0"
Okres Poltár,"169,6","4,4","3,9","4,0","3,4","2,7","1,6","2,2","3,6","5,1","9,8","13,9","15,4","12,3","19,9","21,7","19,9","17,2","17,7"
Okres Revúca,"376,4","39,0","29,8","29,4","29,8","32,6","37,4","38,3","41,6","35,7","32,9","75,0","94,0","100,9","109,4","159,5","203,1","239,6","325,4"
Okres Rimavská Sobota,"832,7","17,8","17,5","20,8","21,2","27,0","25,7","31,7","25,4","22,9","29,3","34,5","33,8","57,6","119,5","118,4","136,3","146,5","181,1"
Okres Veľký Krtíš,"468,2","17,4","19,4","20,7","19,6","10,6","12,8","14,8","15,4","13,9","11,4","15,6","15,0","16,4","18,6","23,3","26,3","45,7","36,9"
Okres Zvolen,"346,0","54,8","62,8","67,2","56,8","45,2","83,6","85,1","48,7","58,1","48,1","46,3","81,4","117,5","205,5","175,3","184,6","237,8","264,9"
Okres Žarnovica,"328,0","20,8","30,3","30,0","77,5","74,4","52,9","52,2","72,6","68,3","70,4","71,4","81,4","66,4","71,5","75,9","129,4","129,8","139,8"
Okres Žiar nad Hronom,"726,8","194,1","199,3","176,6","162,4","177,1","133,7","128,9","141,3","199,8","184,2","198,2","149,7","155,7","216,9","179,9","192,5","248,1","252,8"
Okres Bardejov,"302,0","10,9","11,0","11,0","14,8","14,6","15,2","14,8","15,1","14,4","2,3","2,5","4,2","7,6","6,8","9,2","9,6","10,5","37,0"
