,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nazov,Živonarodení podľa poradia (Osoba),,,,,,,,,,,,,,,,,,,,,,,,,,,
poradie,5. a vyššie,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Okres Žarnovica,9,10,6,6,10,13,9,17,9,16,6,17,11,7,11,10,9,9,8,9,6,7,6,5,5,4,9,3
Okres Žiar nad Hronom,22,20,17,24,22,16,14,19,13,20,18,19,16,14,15,16,21,18,12,14,19,20,12,13,16,19,20,14
Okres Banská Bystrica,24,15,28,23,26,19,27,19,10,9,13,12,14,19,10,16,7,13,11,12,20,16,20,21,14,13,21,23
Okres Banská Štiavnica,6,3,1,1,3,8,6,5,1,2,4,4,3,4,2,6,4,7,5,6,4,2,5,2,1,2,1,4
Okres Brezno,32,27,25,39,25,34,36,38,27,40,43,42,54,56,48,52,57,52,43,41,39,34,32,32,35,37,38,30
Okres Detva,8,18,10,12,13,16,11,9,11,11,9,13,10,12,15,10,9,10,8,3,4,6,4,2,7,3,3,6
Okres Krupina,5,16,19,18,24,14,22,25,18,21,19,26,21,24,24,24,17,20,23,14,11,14,11,14,8,10,7,10
Okres Lučenec,32,27,30,28,32,49,48,42,64,46,50,45,47,54,44,60,76,62,56,60,60,52,55,60,55,50,43,44
Okres Poltár,6,1,4,9,2,5,6,8,6,2,5,6,15,10,10,12,11,16,14,8,12,7,8,12,9,7,7,6
Okres Revúca,12,19,17,20,35,32,28,33,27,43,34,60,52,58,52,43,56,39,64,47,48,42,43,48,41,44,43,37
Okres Rimavská Sobota,45,46,42,54,83,64,81,98,94,75,94,90,94,102,107,92,103,109,94,88,70,92,92,100,99,102,102,116
Okres Stará Ľubovňa,122,107,91,128,134,137,121,107,120,113,121,122,104,86,100,81,83,88,82,80,71,68,88,80,73,89,80,88
Okres Stropkov,8,12,11,8,13,7,6,9,13,11,12,8,12,18,12,17,18,18,16,15,19,18,17,17,9,10,7,10
Okres Svidník,16,17,13,20,16,21,20,15,21,13,16,13,22,23,14,22,20,15,17,12,20,13,21,11,6,9,11,10
Okres Vranov nad Topľou,66,78,69,74,90,85,103,101,113,109,127,120,116,117,130,122,108,100,101,97,86,93,90,86,82,78,80,84
Okres Bardejov,58,53,58,66,70,62,71,64,88,70,63,84,86,60,85,95,88,95,77,84,71,84,64,56,70,55,62,48
Okres Humenné,27,32,25,34,18,31,23,17,19,17,15,17,19,24,12,13,20,17,21,12,15,9,10,6,13,15,10,13
Okres Kežmarok,150,160,166,174,160,151,167,148,141,126,141,149,149,150,157,142,162,160,162,168,161,191,154,177,159,152,140,159
Okres Levoča,27,25,20,31,39,36,33,46,36,37,38,36,49,46,29,39,33,32,37,31,28,26,24,21,22,21,19,20
Okres Medzilaborce,9,7,6,7,6,4,8,6,11,8,11,10,15,11,19,10,9,14,13,9,8,10,9,11,14,7,13,3
