,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
nazov,Emisie základných znečisťujúcich látok,,,,,,,,,,,,,,,,,,
Jednotky,Produkcia v tonách na km2,,,,,,,,,,,,,,,,,,
Typ emisií,Oxid siričitý,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
Okres Liptovský Mikuláš,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,2","0,6","0,2","0,2"
Okres Martin,"0,5","0,6","0,7","0,7","0,6","0,6","0,8","1,2","1,0","1,1","1,3","1,2","1,1","1,2","1,7","1,8","1,9","1,9","2,0"
Okres Námestovo,"0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,2","0,4","0,5","0,6"
Okres Ružomberok,"0,2","0,1","0,3","0,2","0,3","0,4","0,3","0,2","0,3","0,2","0,2","0,5","0,7","0,5","0,7","1,8","2,1","1,7","3,5"
Okres Turčianske Teplice,"0,1","0,1","0,1","0,1","0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Tvrdošín,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1"
Okres Žilina,"0,3","0,2","0,3","0,3","0,6","0,6","0,5","0,6","0,8","1,2","1,7","1,6","1,6","1,8","2,0","1,9","2,1","2,3","2,4"
Okres Banská Bystrica,"0,3","0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1"
Okres Banská Štiavnica,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1"
Okres Brezno,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2"
Okres Detva,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,0","0,0","0,0","0,0"
Okres Krupina,"0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Lučenec,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,2","0,1","0,1","0,0"
Okres Poltár,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,0","0,0","0,0","0,1","0,0","0,0"
Okres Revúca,"0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,9","1,1","1,4","1,0","0,6","0,7","0,7","0,6"
Okres Rimavská Sobota,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1"
Okres Veľký Krtíš,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1"
Okres Zvolen,"0,2","0,5","0,4","0,9","0,6","0,8","1,5","1,3","1,3","1,4","1,5","1,3","1,6","3,2","2,8","2,8","4,6","4,7","4,3"
Okres Žarnovica,"1,0","1,0","1,0","0,9","0,8","0,7","0,7","0,7","0,6","0,6","0,6","0,6","0,7","0,3","0,3","0,4","0,4","0,4","0,4"
Okres Žiar nad Hronom,"4,2","4,2","5,1","5,7","3,5","4,5","3,5","3,7","5,2","3,4","3,2","3,4","3,3","3,3","3,3","3,6","3,5","4,4","4,8"
Okres Bardejov,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Humenné,"0,1","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,2","0,3","0,3","0,3","0,6","1,2","1,5","1,8","1,8","1,7","2,2"
Okres Kežmarok,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1"
Okres Levoča,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Medzilaborce,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Poprad,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Prešov,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Sabinov,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Snina,"0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,4","0,3","0,4","0,3","0,4"
Okres Stará Ľubovňa,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1"
Okres Stropkov,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Svidník,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Vranov nad Topľou,"0,4","0,4","0,3","1,6","1,8","2,0","1,6","1,7","1,0","2,0","1,4","1,1","2,9","2,9","3,3","3,0","5,1","4,6","4,8"
Okres Gelnica,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
,,,,,,,,,,,,,,,,,,,
Okres Košice I,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Košice II,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Košice III,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Košice IV,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Košice - okolie,"0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1"
Okres Michalovce,"0,3","0,5","0,4","0,3","0,6","0,5","0,5","0,8","0,8","0,7","0,6","0,9","1,0","2,5","3,2","4,3","5,3","11,0","17,4"
Okres Rožňava,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,1","1,9","2,0","1,9","2,1","2,2","2,3","3,1"
Okres Sobrance,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Spišská Nová Ves,"0,1","0,0","0,1","0,2","0,1","0,0","0,0","0,1","0,1","0,2","0,2","0,1","0,2","0,2","0,2","0,2","0,1","0,1","0,4"
Okres Trebišov,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
