,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nazov,Živonarodení podľa poradia (Osoba),,,,,,,,,,,,,,,,,,,,,,,,,,,
poradie,4.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Okres Bratislava I,10,12,9,9,5,6,3,8,3,8,5,2,4,10,5,3,7,7,6,12,7,6,6,4,7,11,7,7
Okres Bratislava II,20,24,21,21,39,21,18,16,12,16,20,24,23,23,23,22,26,18,26,17,19,18,29,26,21,28,15,23
Okres Bratislava III,16,10,5,13,10,9,13,10,9,6,11,4,6,8,7,8,11,11,13,15,5,12,14,11,19,14,12,16
Okres Bratislava IV,23,20,22,24,23,24,15,25,14,13,16,13,16,11,7,21,20,16,12,16,15,11,12,21,10,23,13,22
Okres Bratislava V,42,38,32,27,27,20,18,30,15,13,20,16,16,13,15,14,21,18,16,24,19,20,22,14,24,21,14,22
Okres Malacky,31,22,22,26,20,21,13,11,21,23,17,15,20,24,18,20,16,15,19,16,17,19,22,25,15,21,23,18
Okres Pezinok,30,18,16,20,14,14,11,7,14,10,12,9,19,9,14,11,10,11,13,16,13,15,15,18,18,19,15,18
Okres Senec,21,17,22,15,12,8,12,13,6,8,12,10,9,12,13,22,14,23,19,20,20,11,19,18,24,21,25,35
Okres Dunajská Streda,33,31,29,30,25,25,28,25,23,18,26,32,30,26,33,21,27,29,29,29,22,27,22,23,26,22,29,22
Okres Galanta,38,35,34,31,29,36,26,18,20,23,29,21,25,22,29,19,23,26,17,24,21,16,20,16,20,22,16,19
Okres Hlohovec,22,27,24,15,13,15,12,13,7,6,11,10,15,16,17,17,8,14,12,14,15,14,8,13,9,8,8,11
Okres Piešťany,22,23,33,25,24,19,23,9,21,17,10,17,12,9,16,11,22,16,11,8,14,16,13,12,7,16,12,19
Okres Senica,39,27,28,25,21,16,14,8,14,16,21,23,15,18,10,12,6,18,19,16,24,15,25,19,11,14,15,12
Okres Skalica,37,18,19,19,18,13,17,9,15,11,10,14,25,10,9,16,18,11,10,11,19,12,12,5,9,17,13,11
Okres Trnava,57,50,44,47,52,30,36,25,27,28,21,31,23,30,36,27,27,32,28,31,37,34,25,25,37,35,25,34
Okres Bánovce nad Bebravou,15,20,18,10,15,9,11,13,16,4,9,10,13,13,6,6,6,14,11,6,11,7,9,4,9,9,3,3
Okres Ilava,35,42,37,24,35,18,22,19,23,13,20,14,15,11,11,4,11,13,18,12,12,17,9,11,15,12,16,12
Okres Myjava,7,8,8,11,4,8,6,6,9,2,4,2,4,2,4,0,8,3,4,4,5,5,6,2,2,2,8,3
Okres Nové Mesto nad Váhom,29,24,25,25,18,18,16,19,16,14,9,10,16,16,15,14,17,15,14,17,12,8,18,17,13,15,16,23
Okres Partizánske,28,23,17,23,19,7,16,8,9,9,10,8,6,6,8,9,12,13,14,12,11,8,12,8,14,10,12,8
Okres Považská Bystrica,55,54,38,56,41,45,25,31,46,23,24,25,24,20,12,20,16,24,10,11,18,12,8,9,13,17,21,10
Okres Prievidza,61,53,31,63,53,31,32,41,27,27,28,40,34,27,33,21,36,37,24,26,23,31,16,26,26,16,26,24
Okres Púchov,47,34,29,24,22,14,21,21,20,11,15,18,14,17,19,7,9,17,15,15,8,8,7,7,16,11,12,11
Okres Trenčín,78,45,34,33,45,39,29,21,32,35,25,34,32,33,18,35,25,26,28,25,33,26,23,18,21,25,28,24
Okres Komárno,36,37,24,35,51,37,35,22,34,28,41,31,32,30,35,33,30,23,30,29,29,32,36,27,30,32,19,34
Okres Levice,50,48,41,48,40,55,41,43,34,36,32,28,48,48,37,32,50,46,32,53,31,41,45,36,38,34,44,26
Okres Nitra,78,67,69,68,54,62,55,43,41,48,31,45,36,46,34,31,39,37,30,35,38,38,35,40,42,36,33,49
Okres Nové Zámky,55,52,41,56,48,52,46,51,34,44,43,55,35,44,41,26,49,42,36,40,32,43,32,34,34,35,32,34
Okres Šaľa,12,20,18,19,20,11,24,21,20,12,19,16,20,12,17,18,9,10,15,11,17,15,12,9,11,13,8,13
Okres Topoľčany,30,39,29,28,23,20,23,20,15,28,8,9,10,18,10,15,11,13,15,18,11,14,10,11,16,10,9,7
Okres Zlaté Moravce,27,21,28,32,16,20,25,19,11,21,12,14,17,19,19,16,9,17,10,13,6,8,3,15,12,20,17,14
Okres Tvrdošín,72,47,56,52,52,44,35,36,33,38,26,32,33,26,27,26,27,28,26,32,19,30,18,23,22,26,23,24
Okres Žilina,113,90,102,103,66,65,78,65,54,64,59,38,46,47,48,41,48,47,48,32,30,48,46,47,48,43,40,52
Okres Bytča,33,31,34,28,32,22,22,16,15,19,13,19,17,16,17,15,12,10,13,8,9,16,8,9,9,10,10,8
Okres Čadca,112,93,100,86,74,61,56,63,57,42,48,53,34,39,33,32,28,36,25,40,28,22,19,15,34,23,24,27
Okres Dolný Kubín,47,45,36,49,47,33,30,28,31,31,30,16,22,26,12,22,24,16,18,20,11,18,12,22,12,16,21,15
Okres Kysucké Nové Mesto,24,15,18,23,18,27,14,10,18,13,19,10,9,12,15,17,10,15,12,8,10,7,9,13,10,7,8,11
Okres Liptovský Mikuláš,38,31,23,38,44,33,24,28,29,20,24,20,20,16,15,26,20,24,5,20,10,8,18,20,13,20,14,18
Okres Martin,44,44,35,37,28,37,37,18,28,25,28,25,22,30,28,25,19,33,18,15,26,19,18,34,17,26,19,22
Okres Námestovo,161,149,136,109,112,106,100,94,83,78,70,78,57,61,79,75,79,78,61,59,75,61,80,84,59,58,64,60
Okres Ružomberok,52,46,39,43,43,37,41,40,29,18,29,31,31,18,15,28,19,20,21,18,23,24,20,13,21,20,22,23
Okres Turčianske Teplice,7,11,6,3,4,9,3,3,2,7,4,5,5,6,3,2,3,5,1,4,5,5,8,2,2,3,3,4
Okres Veľký Krtíš,27,30,23,33,30,30,21,25,22,19,10,21,19,11,14,21,18,18,18,13,15,19,12,19,8,7,16,14
Okres Zvolen,20,19,26,33,22,29,29,30,18,25,21,20,17,21,13,21,16,19,15,15,9,17,8,14,15,16,13,16
Okres Žarnovica,19,19,17,15,14,15,19,15,17,13,19,11,13,11,10,7,10,7,10,8,8,7,11,6,6,7,10,5
Okres Žiar nad Hronom,23,25,17,28,30,13,20,18,20,15,18,15,12,21,15,13,14,12,15,12,12,9,11,17,16,15,11,14
Okres Banská Bystrica,41,35,33,35,25,30,30,22,18,21,15,24,23,27,26,19,27,26,29,22,20,21,25,21,27,15,24,18
Okres Banská Štiavnica,6,6,8,5,12,9,10,7,4,4,3,9,4,8,9,8,6,7,12,4,4,8,9,6,3,7,4,4
Okres Brezno,34,41,39,50,38,31,46,33,37,37,35,40,38,35,36,52,38,28,32,18,26,30,21,28,23,17,31,28
Okres Detva,24,14,15,15,19,10,11,14,18,11,13,14,11,13,13,9,9,10,11,3,5,12,8,8,7,4,7,9
Okres Krupina,21,18,21,25,22,15,27,21,15,15,17,12,18,15,14,18,12,13,8,10,18,5,15,8,7,11,10,9
Okres Lučenec,30,35,39,53,52,50,34,37,26,28,42,35,52,44,37,40,41,54,41,42,35,35,39,27,25,24,19,33
Okres Poltár,6,5,9,5,9,7,7,9,9,12,13,8,10,8,9,13,8,6,10,13,8,18,10,7,7,3,7,4
Okres Revúca,28,24,23,22,36,24,19,21,34,28,26,36,38,26,25,26,34,31,41,25,23,29,29,21,26,23,27,26
Okres Rimavská Sobota,47,42,37,68,70,55,63,48,60,53,47,62,60,48,53,51,66,52,62,56,64,54,61,47,59,58,62,59
Okres Stará Ľubovňa,135,93,99,88,96,82,91,77,67,63,74,66,58,58,58,53,79,55,50,51,57,50,39,63,57,44,44,55
Okres Stropkov,24,25,23,22,15,14,22,24,19,17,18,16,12,19,8,15,15,11,12,9,11,7,6,9,8,15,13,12
Okres Svidník,43,33,38,27,24,42,31,25,24,14,22,20,18,30,19,25,12,14,15,13,19,14,20,9,13,16,15,17
Okres Vranov nad Topľou,109,95,80,109,119,105,96,98,97,86,84,87,100,81,56,75,64,69,54,66,70,57,54,73,83,53,66,57
Okres Bardejov,125,103,94,89,87,84,81,77,56,80,68,60,75,72,61,65,54,51,57,50,45,60,43,57,53,56,48,39
Okres Humenné,71,56,68,60,52,37,40,34,43,42,35,26,26,32,28,23,28,20,23,13,31,20,18,20,10,14,19,28
Okres Kežmarok,138,137,96,119,108,93,88,98,98,75,91,70,92,94,80,99,111,109,119,97,97,75,99,105,119,96,114,110
Okres Levoča,50,34,40,49,46,41,44,48,35,27,38,28,23,20,26,29,34,25,16,21,25,18,24,24,12,21,15,16
Okres Medzilaborce,8,7,8,11,3,8,10,10,6,5,8,6,10,11,5,6,10,6,2,5,11,9,7,7,8,5,9,8
Okres Poprad,119,70,68,98,82,84,65,77,53,48,61,54,64,57,60,66,70,43,43,54,63,56,50,58,57,56,46,54
Okres Prešov,208,172,180,169,157,132,163,146,147,105,109,119,117,100,96,93,93,99,96,119,77,98,102,103,121,91,130,124
Okres Sabinov,102,105,93,104,94,83,86,82,92,84,83,80,90,75,67,66,67,62,70,76,62,66,70,60,69,82,74,85
Okres Snina,33,40,38,38,33,27,27,27,22,26,18,17,22,18,11,16,14,13,13,16,13,11,12,9,10,16,11,8
Okres Spišská Nová Ves,108,113,113,117,118,99,93,84,106,84,88,113,99,106,83,110,106,87,97,90,80,90,85,84,69,73,76,103
Okres Trebišov,74,87,71,100,86,87,86,91,79,74,84,75,104,83,89,104,78,81,89,87,86,83,87,78,73,72,56,90
Okres Gelnica,36,41,38,37,46,34,33,36,25,29,27,39,30,45,27,36,34,46,32,36,43,36,41,36,40,59,47,44
Okres Košice I,36,49,35,46,45,37,29,29,18,19,22,23,20,16,16,9,20,18,18,16,19,17,11,10,11,14,16,9
Okres Košice II,48,64,40,60,61,40,48,40,36,37,42,38,35,36,36,30,36,37,25,28,27,18,25,29,25,42,36,33
Okres Košice III,12,15,10,11,12,20,10,14,6,3,5,5,10,4,6,9,9,6,6,3,9,4,8,8,11,5,5,9
Okres Košice IV,27,29,22,25,30,24,17,16,17,17,15,19,22,17,12,16,11,11,23,12,11,12,15,14,7,13,11,12
Okres Košice - okolie,87,105,123,102,132,122,115,96,108,126,135,119,86,99,85,93,100,92,105,91,85,80,98,101,132,89,100,113
Okres Michalovce,85,80,74,86,79,78,89,92,71,94,77,82,90,70,75,82,74,65,65,66,60,52,50,69,50,63,61,64
Okres Rožňava,30,29,34,40,49,38,46,44,60,40,40,42,42,47,43,42,46,42,47,49,33,37,38,33,28,28,38,40
Okres Sobrance,27,22,17,16,19,16,17,18,12,12,12,14,14,18,11,18,7,12,10,15,12,8,14,12,15,14,17,14
