,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
nazov,Emisie základných znečisťujúcich látok,,,,,,,,,,,,,,,,,,
Jednotky,Produkcia v tonách na km2,,,,,,,,,,,,,,,,,,
Typ emisií,Tuhé emisie,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
Okres Liptovský Mikuláš,"0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1"
Okres Martin,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,3"
Okres Námestovo,"1,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,3","0,3"
Okres Ružomberok,"1,0","0,1","0,1","0,1","0,1","0,2","0,5","0,4","0,4","0,2","0,2","0,1","0,2","0,1","0,2","0,3","0,4","0,4","0,4"
Okres Turčianske Teplice,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Tvrdošín,"0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1"
Okres Žilina,"1,0","0,1","0,2","0,2","0,2","0,3","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,5","0,4","0,6","0,7"
Okres Banská Bystrica,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2"
Okres Banská Štiavnica,"0,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,0","0,0","0,0","0,0","0,1"
Okres Brezno,"0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2"
Okres Detva,"0,8","0,1","0,1","0,1","0,1","0,1","0,0","0,0","0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Krupina,"0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Lučenec,"0,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,2","0,1","0,2"
Okres Poltár,"0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Revúca,"0,5","0,1","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,0","0,0","0,1","0,1","0,1","0,1","0,2","0,3","0,3","0,4"
Okres Rimavská Sobota,"0,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1"
Okres Veľký Krtíš,"0,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,0"
Okres Zvolen,"0,5","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,3","0,2","0,2","0,3","0,3"
Okres Žarnovica,"0,8","0,0","0,1","0,1","0,2","0,2","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3"
Okres Žiar nad Hronom,"1,4","0,4","0,4","0,3","0,3","0,3","0,3","0,2","0,3","0,4","0,4","0,4","0,3","0,3","0,4","0,3","0,4","0,5","0,5"
Okres Bardejov,"0,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Humenné,"0,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,0","0,2","0,2","0,2","0,2","0,2","0,4"
Okres Kežmarok,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Levoča,"0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Medzilaborce,"0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Poprad,"0,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,0","0,0","0,1"
Okres Prešov,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,2","0,2","0,2","0,2","0,1","0,1","0,2"
Okres Sabinov,"0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Snina,"0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1"
Okres Stará Ľubovňa,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1"
Okres Stropkov,"0,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Svidník,"0,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,0","0,0"
Okres Vranov nad Topľou,"0,6","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,1","0,1","0,2","0,1","0,1","0,6","0,7","0,9","0,3","0,3","0,4"
Okres Gelnica,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1"
,,,,,,,,,,,,,,,,,,,
Okres Košice I,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Košice II,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Košice III,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Košice IV,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Košice - okolie,"0,5","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2"
Okres Michalovce,"0,3","0,1","0,1","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","6,5","10,0","5,9","5,8","5,8","7,1"
Okres Rožňava,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,2","0,2","0,1","0,1","0,1","0,1","0,2"
Okres Sobrance,"0,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Okres Spišská Nová Ves,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,4"
Okres Trebišov,"0,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
