,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
nazov,Emisie základných znečisťujúcich látok,,,,,,,,,,,,,,,,,,
Jednotky,Produkcia v tonách,,,,,,,,,,,,,,,,,,
Typ emisií,Oxid siričitý,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
Okres Liptovský Mikuláš,"33,6","3,0","2,3","3,1","5,3","5,6","6,4","7,5","6,9","7,4","8,6","41,3","58,9","142,7","149,9","237,3","856,8","230,4","235,5"
Okres Martin,"381,3","415,0","499,3","523,9","458,4","419,3","559,2","874,1","748,1","798,2","925,9","902,4","795,9","895,2","1 257,4","1 315,9","1 382,6","1 388,6","1 477,3"
Okres Námestovo,"69,1","13,7","22,0","17,9","16,0","17,2","25,7","27,0","29,9","33,3","48,6","45,1","46,3","63,1","77,5","148,2","256,9","356,5","393,1"
Okres Ružomberok,"158,0","62,3","203,8","100,9","167,6","232,7","177,9","146,0","218,9","142,8","130,3","331,1","447,3","317,9","470,0","1 151,0","1 377,2","1 072,1","2 248,9"
Okres Turčianske Teplice,"37,0","30,0","23,1","23,9","23,8","23,0","15,3","12,3","2,2","3,1","4,2","3,5","4,8","3,8","4,5","2,6","3,3","4,3","3,0"
Okres Tvrdošín,"12,0","2,6","2,8","2,7","3,9","2,5","0,6","0,6","0,8","1,3","4,4","8,0","7,0","8,8","8,4","12,9","21,0","40,8","42,8"
Okres Žilina,"215,2","197,0","210,0","275,5","487,1","450,3","443,8","509,5","625,3","940,0","1 404,7","1 290,6","1 297,2","1 492,7","1 599,8","1 545,3","1 745,2","1 857,5","1 940,6"
Okres Banská Bystrica,"202,9","172,4","181,1","86,4","87,2","85,3","80,0","73,2","4,3","5,4","6,2","8,7","10,0","25,7","43,6","47,4","59,8","90,3","78,8"
Okres Banská Štiavnica,"12,2","0,0","0,0","2,6","3,0","3,0","4,7","6,4","5,6","6,3","7,5","8,7","8,3","9,1","8,1","10,5","8,8","11,0","16,6"
Okres Brezno,"56,7","26,7","28,9","27,0","26,1","26,4","37,4","45,3","33,9","35,7","58,7","68,1","68,0","91,0","92,2","152,8","214,6","286,2","305,2"
Okres Detva,"20,0","0,4","0,5","0,6","1,9","3,2","2,3","2,4","3,1","18,3","18,6","8,7","11,0","26,1","28,2","9,6","9,3","17,8","12,3"
Okres Krupina,"33,9","13,0","22,6","20,9","22,4","16,6","7,5","9,1","6,0","5,4","4,5","5,0","6,9","12,5","11,9","8,5","10,3","13,4","14,7"
Okres Lučenec,"36,5","6,0","9,1","12,2","12,1","12,7","12,9","12,4","10,8","2,9","4,9","4,0","4,0","41,9","59,4","127,7","100,5","66,8","20,6"
Okres Poltár,"12,6","6,1","5,8","5,0","2,0","2,0","1,6","1,8","3,5","5,4","20,6","35,6","32,1","16,7","15,6","15,0","47,4","7,1","5,5"
Okres Revúca,"150,6","112,1","115,9","118,0","129,3","136,7","133,1","145,4","219,5","189,1","228,1","685,5","807,3","1 005,9","756,1","449,4","526,3","543,3","456,1"
Okres Rimavská Sobota,"60,1","15,5","15,3","15,8","19,6","8,8","12,6","6,0","7,8","12,1","12,8","15,0","8,6","13,3","45,6","49,2","45,1","59,7","134,5"
Okres Veľký Krtíš,"31,9","7,1","20,2","23,3","20,5","16,7","12,5","19,0","22,9","31,1","24,2","42,4","35,4","44,4","43,6","64,2","60,8","79,6","68,0"
Okres Zvolen,"168,0","394,5","286,0","672,1","491,1","636,1","1 124,2","982,7","1 000,7","1 080,6","1 121,2","964,2","1 217,0","2 422,5","2 112,0","2 157,9","3 474,1","3 583,2","3 243,3"
Okres Žarnovica,"407,9","424,9","410,4","403,5","334,1","287,4","289,0","304,3","269,0","260,3","264,5","274,6","277,9","137,1","140,6","183,7","191,3","189,5","190,2"
Okres Žiar nad Hronom,"2 166,7","2 177,4","2 641,9","2 974,0","1 830,4","2 348,6","1 831,4","1 908,3","2 709,7","1 752,1","1 662,8","1 758,5","1 713,9","1 730,0","1 724,8","1 841,3","1 830,7","2 298,6","2 467,9"
